DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabela 2631 - Número de empregados por atividade econômica segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - Município do Rio de Janeiro - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairros,Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",Serviços industriais de utilidade pública ,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,  9 175,  3 774,  11 884,  8 179,  2 285,  2 610,  1 921,  11 545,  11 176,  28 899,  15 721,   142,  30 204,  37 922,  80 934,  288 448,  66 041,  59 475,  387 592,  134 137,  250 923,  113 186,  132 922,  381 972,  3 148,   0, 2 074 215
IX Vila Isabel,   765,   0,   12,   4,   0,   0,   0,   53,   14,  1 053,   57,   0,   434,   0,  1 553,  4 606,   650,   644,  7 546,  2 226,  6 188,  2 556,  12 872,  3 400,   0,   0,  44 633
Maracanã,   765,-,   4,   2,-,-,-,   2,   6,  1 002,-,-,   222,-,  1 410,  1 114,   478,   136,  1 159,   99,  1 731,  1 899,  11 741,  1 644,-,-,  23 414
Vila Isabel,-,-,   8,   2,-,-,-,   41,   6,   1,   5,-,   133,-,   90,  2 016,   102,   114,  4 489,  1 048,  1 881,   293,   658,-,-,-,  10 887
Andaraí,-,-,-,-,-,-,-,-,-,   50,   18,-,   21,-,   42,   974,   56,   375,   890,  1 024,   754,   48,   153,  1 756,-,-,  6 161
Grajaú,-,-,-,-,-,-,-,   10,   2,-,   34,-,   58,-,   11,   502,   14,   19,  1 008,   55,  1 822,   316,   320,-,-,-,  4 171
,,,,,,,,,,,,,,,,,,,,,,,,,,,   0
Área de Planejamento 3,   83,  1 687,  3 426,  4 507,  1 204,  1 586,   823,  3 150,   767,  7 133,  7 465,   138,  8 177,  2 320,  20 417,  81 763,  28 127,  3 835,  86 549,  39 794,  39 263,  18 020,  40 523,  16 323,   455,   0,  417 535
Região de Planejamento 3.1,   0,   36,   339,   721,   219,   91,   116,  1 087,   118,   621,   666,   1,   626,   255,  3 819,  11 884,  4 300,   527,  25 912,  8 050,  6 903,  4 082,  2 851,  2 541,   0,   0,  75 765
X Ramos,   0,   36,   303,   721,   219,   91,   116,  1 087,   118,   621,   663,   1,   598,   255,  3 815,  11 463,  4 293,   527,  25 906,  6 723,  6 884,  4 081,  2 851,  2 541,   0,   0,  73 913
Manguinhos,-,   24,   77,-,   5,   11,   32,   28,   7,   16,-,-,   127,   2,   65,  1 344,   196,   120,  5 887,   501,  1 406,   21,   321,  2 541,-,-,  12 731
